MuP,NLL,MuT,OptMuP,BFMuP
7.699999999999999,1064.2575780440438,0.14,10.7,13.7
7.730150753768844,1055.0202550528693,0.14,10.7,13.7
7.7603015075376875,1045.852294850944,0.14,10.7,13.7
7.790452261306532,1036.7531147232114,0.14,10.7,13.7
7.820603015075376,1027.7221385113858,0.14,10.7,13.7
7.85075376884422,1018.7587965127511,0.14,10.7,13.7
7.880904522613065,1009.8625253808391,0.14,10.7,13.7
7.911055276381909,1001.0327680281316,0.14,10.7,13.7
7.941206030150753,992.2689735304741,0.14,10.7,13.7
7.971356783919597,983.5705970333976,0.14,10.7,13.7
8.001507537688441,974.9370996602427,0.14,10.7,13.7
8.031658291457285,966.3679484218907,0.14,10.7,13.7
8.06180904522613,957.8626161283682,0.14,10.7,13.7
8.091959798994974,949.4205813019653,0.14,10.7,13.7
8.122110552763818,941.0413280920184,0.14,10.7,13.7
8.152261306532662,932.7243461913723,0.14,10.7,13.7
8.182412060301507,924.4691307542197,0.14,10.7,13.7
8.21256281407035,916.2751823156445,0.14,10.7,13.7
8.242713567839195,908.1420067124949,0.14,10.7,13.7
8.27286432160804,900.069115005798,0.14,10.7,13.7
8.303015075376884,892.056023404577,0.14,10.7,13.7
8.333165829145727,884.102253191051,0.14,10.7,13.7
8.363316582914573,876.2073306471913,0.14,10.7,13.7
8.393467336683416,868.3707869826034,0.14,10.7,13.7
8.42361809045226,860.5921582637482,0.14,10.7,13.7
8.453768844221106,852.8709853443775,0.14,10.7,13.7
8.48391959798995,845.206813797278,0.14,10.7,13.7
8.514070351758793,837.5991938471883,0.14,10.7,13.7
8.544221105527637,830.0476803049245,0.14,10.7,13.7
8.574371859296482,822.5518325027008,0.14,10.7,13.7
8.604522613065326,815.1112142305611,0.14,10.7,13.7
8.63467336683417,807.7253936739421,0.14,10.7,13.7
8.664824120603015,800.3939433523464,0.14,10.7,13.7
8.694974874371859,793.1164400590802,0.14,10.7,13.7
8.725125628140702,785.8924648020368,0.14,10.7,13.7
8.755276381909546,778.7216027455224,0.14,10.7,13.7
8.785427135678392,771.6034431531042,0.14,10.7,13.7
8.815577889447235,764.5375793314076,0.14,10.7,13.7
8.845728643216079,757.5236085749252,0.14,10.7,13.7
8.875879396984924,750.5611321117474,0.14,10.7,13.7
8.906030150753768,743.6497550502398,0.14,10.7,13.7
8.936180904522612,736.7890863266225,0.14,10.7,13.7
8.966331658291457,729.97873865345,0.14,10.7,13.7
8.9964824120603,723.2183284689411,0.14,10.7,13.7
9.026633165829145,716.5074758872208,0.14,10.7,13.7
9.05678391959799,709.8458046493383,0.14,10.7,13.7
9.086934673366834,703.2329420751477,0.14,10.7,13.7
9.117085427135677,696.6685190159983,0.14,10.7,13.7
9.147236180904521,690.1521698081978,0.14,10.7,13.7
9.177386934673367,683.6835322272508,0.14,10.7,13.7
