JudgeName,JudgeID,County,Plea,Trial,Days,PleaDays,TrialDays,MuT
ALFORD,Judge 1,Chester,26,1,34.0,2.108727290728182,31.891272709271817,0.03135654099214635
ALFORD,Judge 1,Fairfield,18,1,24.0,1.4598881243502797,22.54011187564972,0.04436535211168622
ALFORD,Judge 1,Union,41,1,20.0,3.325300727686748,16.67469927231325,0.059971096549873294
ALFORD,Judge 1,York,152,1,57.0,12.32794416118014,44.67205583881986,0.022385358838377067
BARBER,Judge 2,Aiken,206,6,57.5,16.707608534230978,40.79239146576902,0.1470862527154091
BARBER,Judge 2,Barnwell,70,1,15.0,5.677342705806643,9.322657294193357,0.10726555406287999
BARBER,Judge 2,Richland,88,2,86.0,7.1372308301569225,78.86276916984308,0.02536050941468582
BAXLEY,Judge 3,Charleston,108,2,39.0,8.759328746101678,30.24067125389832,0.06613609807825216
BAXLEY,Judge 3,Georgetown,47,1,29.0,3.811930102470175,25.188069897529825,0.03970133496009034
BAXLEY,Judge 3,Horry,40,2,25.0,3.2441958318895106,21.75580416811049,0.09192949084049885
BEATTY,Judge 4,Fairfield,7,2,15.0,0.5677342705806643,14.432265729419335,0.13857837968733602
BEATTY,Judge 4,Lancaster,16,1,14.0,1.2976783327558041,12.702321667244195,0.07872576574554287
BEATTY,Judge 4,Spartanburg,111,4,58.0,9.002643433493391,48.99735656650661,0.0816370571863524
BEATTY,Judge 4,York,48,1,20.0,3.8930349982674124,16.106965001732586,0.06208494274945233
BREEDEN,Judge 5,Horry,208,1,57.5,16.869818325825456,40.630181674174544,0.02461224535049575
BREEDEN,Judge 5,Richland,246,3,54.0,19.951804366120488,34.048195633879516,0.08811039598864565
BROGDON,Judge 6,Horry,193,7,92.0,15.653244888866888,76.3467551111331,0.09168693534925677
BROWN,Judge 7,Beaufort,31,1,9.0,2.5142517697143707,6.48574823028563,0.15418421506564717
BROWN,Judge 7,Charleston,82,5,35.0,6.650601455373496,28.349398544626503,0.17637058479844633
BROWN,Judge 7,Dorchester,190,10,45.0,15.409930201475175,29.590069798524823,0.33795121363649294
BROWN,Judge 7,Jasper,24,1,10.0,1.9465174991337062,8.053482500866293,0.12416988549890466
BROWN,Judge 7,Orangeburg,226,3,54.0,18.329706450175735,35.670293549824265,0.08410359717981014
BUCKNER,Judge 8,Aiken,36,1,4.0,2.9197762487005594,1.0802237512994406,0.9257341349855189
BUCKNER,Judge 8,Beaufort,9,3,20.0,0.7299440621751399,19.27005593782486,0.15568195596730738
BUCKNER,Judge 8,Dorchester,39,1,19.0,3.1630909360922725,15.836909063907727,0.0631436346552622
BURCH,Judge 9,Florence,270,1,70.5,21.898321865254196,48.601678134745804,0.02057542122779276
BURCH,Judge 9,Marion,13,1,19.0,1.054363645364091,17.94563635463591,0.055723852876449785
BURCH,Judge 9,Sumter,7,1,2.5,0.5677342705806643,1.9322657294193357,0.5175271624263137
CLARY,Judge 10,Cherokee,37,1,19.0,3.000881144497797,15.999118855502203,0.06250344216025955
CLARY,Judge 10,Greenwood,27,2,20.0,2.1898321865254196,17.810167813474582,0.11229540456586076
CLARY,Judge 10,Laurens,140,2,34.0,11.354685411613286,22.645314588386714,0.08831849044065247
CLARY,Judge 10,Newberry,69,1,19.0,5.596237810009406,13.403762189990594,0.07460591928039136
CLARY,Judge 10,Spartanburg,117,3,31.5,9.489272808276818,22.010727191723184,0.13629717791096455
CLARY,Judge 10,York,1,1,4.0,0.08110489579723776,3.9188951042027624,0.2551739644492052
COLE,Judge 11,Cherokee,56,4,33.0,4.541874164645314,28.458125835354686,0.14055739380527432
COLE,Judge 11,Spartanburg,185,9,132.0,15.004405722488986,116.99559427751102,0.07692597362813676
COOPER GT,Judge 12,Greenville,51,1,31.5,4.136349685659126,27.363650314340873,0.036544831866818416
COOPER TW,Judge 13,Aiken,0,1,12.5,0.0,12.5,0.08
COOPER TW,Judge 13,Lee,28,3,13.0,2.270937082322657,10.729062917677343,0.2796143543027566
COOPER TW,Judge 13,Orangeburg,0,1,13.0,0.0,13.0,0.07692307692307693
COOPER TW,Judge 13,Richland,68,5,42.0,5.515132914212168,36.48486708578783,0.13704311950056905
COOPER TW,Judge 13,Sumter,90,1,30.0,7.2994406217513985,22.700559378248602,0.044051777902803034
COTTINGHAM,Judge 14,Georgetown,50,1,15.0,4.055244789861888,10.944755210138112,0.09136796399737669
DENNIS,Judge 15,Charleston,5,1,11.666666666666666,0.4055244789861888,11.261142187680477,0.08880093895750514
DENNIS,Judge 15,Kershaw,34,1,11.0,2.757566457106084,8.242433542893917,0.12132339251459712
DENNIS,Judge 15,Lexington,4,1,2.5,0.32441958318895103,2.175580416811049,0.45964745420249425
DENNIS,Judge 15,Orangeburg,4,1,26.5,0.32441958318895103,26.175580416811048,0.038203546361774594
DENNIS,Judge 15,Sumter,3,1,16.0,0.24331468739171327,15.756685312608287,0.06346512481275574
FEW,Judge 16,Aiken,13,1,4.0,1.054363645364091,2.945636354635909,0.33948521799922027
FEW,Judge 16,Cherokee,1,1,5.0,0.08110489579723776,4.918895104202762,0.20329768755296046
FLOYD H,Judge 17,Greenville,145,1,36.0,11.760209890599475,24.239790109400523,0.04125448262904662
FLOYD H,Judge 17,Pickens,110,2,69.0,8.921538537696154,60.07846146230385,0.03328980055947167
FLOYD S,Judge 18,Chesterfield,21,3,19.0,1.703202811741993,17.296797188258008,0.17344251466604238
FLOYD S,Judge 18,Georgetown,46,2,20.0,3.730825206672937,16.269174793327064,0.12293186503966486
FLOYD S,Judge 18,Horry,111,6,54.0,9.002643433493391,44.99735656650661,0.13334116618899447
GOODE,Judge 19,Clarendon,28,1,15.0,2.270937082322657,12.729062917677343,0.07856037844005478
GOODE,Judge 19,Lancaster,31,1,14.0,2.5142517697143707,11.48574823028563,0.08706441930907029
GOODE,Judge 19,Sumter,41,1,24.0,3.325300727686748,20.67469927231325,0.048368297252050524
GREGORY,Judge 21,Beaufort,39,1,50.0,3.1630909360922725,46.836909063907726,0.02135068304006839
GREGORY,Judge 21,Charleston,54,2,39.0,4.379664373050839,34.620335626949164,0.05776951504892864
GREGORY,Judge 21,Dorchester,37,2,10.0,3.000881144497797,6.9991188555022035,0.2857502553236032
HALL,Judge 22,Anderson,45,1,36.0,3.6497203108756993,32.3502796891243,0.030911633828507073
HALL,Judge 22,Greenville,314,2,78.0,25.466937280332658,52.53306271966734,0.038071262105402424
HALL,Judge 22,Lexington,28,1,15.0,2.270937082322657,12.729062917677343,0.07856037844005478
