JudgeName,JudgeID,County,Plea,Trial,Days,PleaDays,TrialDays,MuT
ALFORD,Judge 1,Chester,26,1,34.0,1.8671893860980255,32.132810613901974,0.031120838199175733
ALFORD,Judge 1,Fairfield,18,1,24.0,1.2926695749909407,22.707330425009058,0.0440386422042212
ALFORD,Judge 1,Union,41,1,20.0,2.9444140319238095,17.05558596807619,0.05863181727509984
ALFORD,Judge 1,York,152,1,57.0,10.91587641103461,46.08412358896539,0.021699447057282106
BARBER,Judge 2,Aiken,206,6,57.5,14.793885136007432,42.70611486399257,0.1404951028467089
BARBER,Judge 2,Barnwell,70,1,15.0,5.027048347186992,9.972951652813009,0.10027121706921503
BARBER,Judge 2,Richland,88,2,86.0,6.319717922177933,79.68028207782207,0.025100312747972475
BAXLEY,Judge 3,Charleston,108,2,39.0,7.756017449945644,31.243982550054355,0.06401232611098487
BAXLEY,Judge 3,Georgetown,47,1,29.0,3.375303890254123,25.624696109745877,0.03902485304478084
BAXLEY,Judge 3,Horry,40,2,25.0,2.872599055535424,22.127400944464576,0.0903856718201838
BEATTY,Judge 4,Fairfield,7,2,15.0,0.5027048347186992,14.497295165281301,0.1379567689833397
BEATTY,Judge 4,Lancaster,16,1,14.0,1.1490396222141694,12.85096037778583,0.07781519595442843
BEATTY,Judge 4,Spartanburg,111,4,58.0,7.971462379110801,50.028537620889196,0.07995436585237738
BEATTY,Judge 4,York,48,1,20.0,3.4471188666425086,16.55288113335749,0.0604124437276839
BREEDEN,Judge 5,Horry,208,1,57.5,14.937515088784204,42.5624849112158,0.02349486882840542
BREEDEN,Judge 5,Richland,246,3,54.0,17.666484191542857,36.33351580845714,0.08256839266024751
BROGDON,Judge 6,Horry,193,7,92.0,13.86029044295842,78.13970955704158,0.08958313307896335
BROWN,Judge 7,Beaufort,31,1,9.0,2.2262642680399534,6.773735731960047,0.14762902474653233
BROWN,Judge 7,Charleston,82,5,35.0,5.888828063847619,29.11117193615238,0.1717553663234916
BROWN,Judge 7,Dorchester,190,10,45.0,13.644845513793264,31.355154486206736,0.3189268292203453
BROWN,Judge 7,Jasper,24,1,10.0,1.7235594333212543,8.276440566678746,0.1208248874553678
