JudgeName,JudgeID,County,Plea,Trial,Days,PleaDays,TrialDays,MuT
ALFORD,Judge 1,Chester,26,1,34.0,2.429906542056075,31.570093457943926,0.031675547661338066
ALFORD,Judge 1,Fairfield,18,1,24.0,1.6822429906542058,22.317757009345794,0.04480737018425461
ALFORD,Judge 1,Union,41,1,20.0,3.8317757009345796,16.16822429906542,0.061849710982658956
ALFORD,Judge 1,York,152,1,57.0,14.205607476635516,42.794392523364486,0.02336754749945403
BARBER,Judge 2,Aiken,206,6,57.5,19.252336448598133,38.24766355140187,0.15687232742822235
BARBER,Judge 2,Barnwell,70,1,15.0,6.542056074766355,8.457943925233645,0.11823204419889503
BARBER,Judge 2,Richland,88,2,86.0,8.224299065420562,77.77570093457943,0.025714972362412884
BAXLEY,Judge 3,Charleston,108,2,39.0,10.093457943925234,28.906542056074766,0.0691884901390236
BAXLEY,Judge 3,Georgetown,47,1,29.0,4.392523364485982,24.60747663551402,0.04063805545005697
BAXLEY,Judge 3,Horry,40,2,25.0,3.738317757009346,21.261682242990652,0.09406593406593408
BEATTY,Judge 4,Fairfield,7,2,15.0,0.6542056074766356,14.345794392523365,0.13941368078175895
BEATTY,Judge 4,Lancaster,16,1,14.0,1.4953271028037385,12.504672897196262,0.07997010463378176
BEATTY,Judge 4,Spartanburg,111,4,58.0,10.373831775700936,47.626168224299064,0.08398744113029827
BEATTY,Judge 4,York,48,1,20.0,4.4859813084112155,15.514018691588785,0.06445783132530121
BREEDEN,Judge 5,Horry,208,1,57.5,19.4392523364486,38.060747663551396,0.026273787599754454
BREEDEN,Judge 5,Richland,246,3,54.0,22.990654205607477,31.009345794392523,0.09674502712477397
BROGDON,Judge 6,Horry,193,7,92.0,18.037383177570096,73.96261682242991,0.09464240586302755
BROWN,Judge 7,Beaufort,31,1,9.0,2.897196261682243,6.102803738317757,0.1638591117917305
BROWN,Judge 7,Charleston,82,5,35.0,7.663551401869159,27.33644859813084,0.18290598290598292
BROWN,Judge 7,Dorchester,190,10,45.0,17.757009345794394,27.242990654205606,0.3670668953687822
BROWN,Judge 7,Jasper,24,1,10.0,2.2429906542056077,7.757009345794392,0.12891566265060242
BROWN,Judge 7,Orangeburg,226,3,54.0,21.121495327102807,32.87850467289719,0.09124502558271746
BUCKNER,Judge 8,Aiken,36,1,4.0,3.3644859813084116,0.6355140186915884,1.5735294117647067
BUCKNER,Judge 8,Beaufort,9,3,20.0,0.8411214953271029,19.1588785046729,0.15658536585365854
BUCKNER,Judge 8,Dorchester,39,1,19.0,3.6448598130841123,15.355140186915888,0.06512477175897748
BURCH,Judge 9,Florence,270,1,70.5,25.233644859813086,45.26635514018692,0.02209146278517601
BURCH,Judge 9,Marion,13,1,19.0,1.2149532710280375,17.785046728971963,0.05622700998423542
BURCH,Judge 9,Sumter,7,1,2.5,0.6542056074766356,1.8457943925233644,0.5417721518987342
CLARY,Judge 10,Cherokee,37,1,19.0,3.457943925233645,15.542056074766355,0.06434155141310884
CLARY,Judge 10,Greenwood,27,2,20.0,2.5233644859813085,17.476635514018692,0.11443850267379678
CLARY,Judge 10,Laurens,140,2,34.0,13.08411214953271,20.91588785046729,0.09562109025915996
CLARY,Judge 10,Newberry,69,1,19.0,6.4485981308411215,12.551401869158878,0.07967237527922562
CLARY,Judge 10,Spartanburg,117,3,31.5,10.934579439252337,20.56542056074766,0.14587593728698026
CLARY,Judge 10,York,1,1,4.0,0.09345794392523366,3.906542056074766,0.25598086124401914
COLE,Judge 11,Cherokee,56,4,33.0,5.233644859813085,27.766355140186917,0.1440592393133625
COLE,Judge 11,Spartanburg,185,9,132.0,17.289719626168225,114.71028037383178,0.07845853022649503
COOPER GT,Judge 12,Greenville,51,1,31.5,4.766355140186916,26.733644859813083,0.03740604789372488
COOPER TW,Judge 13,Aiken,0,1,12.5,0.0,12.5,0.08
COOPER TW,Judge 13,Lee,28,3,13.0,2.6168224299065423,10.383177570093459,0.2889288928892889
COOPER TW,Judge 13,Orangeburg,0,1,13.0,0.0,13.0,0.07692307692307693
COOPER TW,Judge 13,Richland,68,5,42.0,6.355140186915889,35.64485981308411,0.14027267960146828
COOPER TW,Judge 13,Sumter,90,1,30.0,8.41121495327103,21.588785046728972,0.04632034632034632
COTTINGHAM,Judge 14,Georgetown,50,1,15.0,4.672897196261682,10.327102803738317,0.09683257918552036
DENNIS,Judge 15,Charleston,5,1,11.666666666666666,0.4672897196261683,11.199376947040498,0.08929068150208623
DENNIS,Judge 15,Kershaw,34,1,11.0,3.1775700934579443,7.822429906542055,0.12783751493428913
DENNIS,Judge 15,Lexington,4,1,2.5,0.3738317757009346,2.1261682242990654,0.4703296703296703
DENNIS,Judge 15,Orangeburg,4,1,26.5,0.3738317757009346,26.126168224299064,0.03827580039348954
DENNIS,Judge 15,Sumter,3,1,16.0,0.28037383177570097,15.719626168224298,0.06361474435196195
FEW,Judge 16,Aiken,13,1,4.0,1.2149532710280375,2.7850467289719623,0.3590604026845638
FEW,Judge 16,Cherokee,1,1,5.0,0.09345794392523366,4.906542056074766,0.20380952380952383
FLOYD H,Judge 17,Greenville,145,1,36.0,13.55140186915888,22.44859813084112,0.04454621149042465
FLOYD H,Judge 17,Pickens,110,2,69.0,10.280373831775702,58.719626168224295,0.03406016234282986
FLOYD S,Judge 18,Chesterfield,21,3,19.0,1.9626168224299068,17.037383177570092,0.17608337904552937
FLOYD S,Judge 18,Georgetown,46,2,20.0,4.299065420560748,15.700934579439252,0.12738095238095237
FLOYD S,Judge 18,Horry,111,6,54.0,10.373831775700936,43.626168224299064,0.13753213367609254
GOODE,Judge 19,Clarendon,28,1,15.0,2.6168224299065423,12.383177570093459,0.08075471698113207
GOODE,Judge 19,Lancaster,31,1,14.0,2.897196261682243,11.102803738317757,0.09006734006734007
GOODE,Judge 19,Sumter,41,1,24.0,3.8317757009345796,20.16822429906542,0.04958294717330862
GREGORY,Judge 21,Beaufort,39,1,50.0,3.6448598130841123,46.35514018691589,0.02157258064516129
GREGORY,Judge 21,Charleston,54,2,39.0,5.046728971962617,33.953271028037385,0.05890448665015139
GREGORY,Judge 21,Dorchester,37,2,10.0,3.457943925233645,6.542056074766355,0.3057142857142857
HALL,Judge 22,Anderson,45,1,36.0,4.205607476635515,31.794392523364486,0.031452087007642564
HALL,Judge 22,Greenville,314,2,78.0,29.345794392523366,48.654205607476634,0.041106415674222054
HALL,Judge 22,Lexington,28,1,15.0,2.6168224299065423,12.383177570093459,0.08075471698113207
HARWELL,Judge 23,Florence,64,3,70.0,5.981308411214954,64.01869158878505,0.04686131386861314
HAYES,Judge 24,Cherokee,46,2,23.0,4.299065420560748,18.700934579439252,0.10694652673663169
HAYES,Judge 24,Spartanburg,52,2,35.0,4.85981308411215,30.14018691588785,0.06635658914728683
HAYES,Judge 24,Union,41,1,10.0,3.8317757009345796,6.16822429906542,0.16212121212121214
HAYES,Judge 24,York,211,12,68.5,19.719626168224302,48.7803738317757,0.24600057476769807
HUGHSTON,Judge 25,Charleston,222,1,97.0,20.74766355140187,76.25233644859813,0.013114352249050129
HUGHSTON,Judge 25,Lexington,23,1,5.0,2.149532710280374,2.850467289719626,0.35081967213114756
JOHNSON,Judge 26,Anderson,264,4,74.0,24.672897196261683,49.32710280373831,0.08109132247063282
JOHNSON,Judge 26,Greenwood,34,1,14.0,3.1775700934579443,10.822429906542055,0.09240069084628671
KEESLEY,Judge 27,Aiken,59,2,18.0,5.514018691588785,12.485981308411215,0.16017964071856286
KEESLEY,Judge 27,Lexington,101,1,62.0,9.439252336448599,52.5607476635514,0.01902560455192034
KINARD,Judge 28,Richland,106,1,28.0,9.906542056074768,18.09345794392523,0.055268595041322324
KING,Judge 29,Sumter,18,2,37.0,1.6822429906542058,35.3177570093458,0.05662873776131251
KING,Judge 29,Union,48,1,19.0,4.4859813084112155,14.514018691588785,0.06889890534449453
KING,Judge 29,York,159,3,70.0,14.859813084112151,55.14018691588785,0.054406779661016945
KITTREDGE,Judge 30,Anderson,78,6,57.0,7.289719626168225,49.71028037383178,0.1206993795826283
KITTREDGE,Judge 30,Greenville,14,5,60.0,1.3084112149532712,58.691588785046726,0.08519108280254778
LEE,Judge 31,Richland,127,2,142.0,11.869158878504674,130.13084112149534,0.015369146796897442
LOCKEMY,Judge 32,Charleston,125,1,45.0,11.682242990654206,33.3177570093458,0.03001402524544179
LOCKEMY,Judge 32,Chesterfield,40,1,15.0,3.738317757009346,11.261682242990654,0.08879668049792531
LOCKEMY,Judge 32,Darlington,25,1,19.0,2.336448598130841,16.66355140186916,0.06001121704991587
MACAULAY,Judge 33,Anderson,42,2,29.0,3.9252336448598135,25.074766355140188,0.07976146105106224
MACAULAY,Judge 33,Darlington,7,1,5.0,0.6542056074766356,4.345794392523365,0.23010752688172043
MACAULAY,Judge 33,Richland,369,1,79.0,34.48598130841122,44.51401869158878,0.022464833088389674
MANNING,Judge 34,Florence,137,2,64.0,12.803738317757011,51.19626168224299,0.03906535231836437
MARTIN,Judge 35,Colleton,16,1,10.0,1.4953271028037385,8.504672897196262,0.11758241758241758
MCKELLAR,Judge 36,Lee,15,1,15.0,1.4018691588785048,13.598130841121495,0.07353951890034365
MCKELLAR,Judge 36,Sumter,33,1,43.0,3.0841121495327104,39.91588785046729,0.0250526808709904
MILLING,Judge 37,Clarendon,21,2,10.0,1.9626168224299068,8.037383177570094,0.24883720930232556
MILLING,Judge 37,Horry,19,2,69.0,1.7757009345794394,67.22429906542057,0.029751146948422073
NEWMAN,Judge 38,Berkeley,42,3,43.0,3.9252336448598135,39.074766355140184,0.07677589093518297
NEWMAN,Judge 38,Charleston,151,1,50.0,14.112149532710282,35.88785046728972,0.027864583333333335
NEWMAN,Judge 38,Sumter,5,1,4.0,0.4672897196261683,3.5327102803738315,0.2830687830687831
NICHOLSON,Judge 39,Anderson,223,2,73.5,20.841121495327105,52.6588785046729,0.03798029993788268
NICHOLSON,Judge 39,Lexington,116,2,49.0,10.841121495327103,38.1588785046729,0.05241244183198628
NICHOLSON,Judge 39,Oconee,7,1,11.0,0.6542056074766356,10.345794392523365,0.0966576332429991
NICHOLSON,Judge 39,Saluda,40,1,15.0,3.738317757009346,11.261682242990654,0.08879668049792531
PATTERSON,Judge 40,Greenville,112,5,133.0,10.46728971962617,122.53271028037383,0.04080543055449622
PIEPER,Judge 41,Berkeley,8,1,20.0,0.7476635514018692,19.25233644859813,0.05194174757281554
PIEPER,Judge 41,Charleston,87,1,150.5,8.130841121495328,142.36915887850466,0.007023993172941215
PYLE,Judge 42,Greenville,186,1,48.0,17.38317757009346,30.61682242990654,0.032661782661782664
PYLE,Judge 42,Oconee,35,1,5.0,3.2710280373831777,1.7289719626168223,0.5783783783783785
PYLE,Judge 42,Pickens,59,1,15.0,5.514018691588785,9.485981308411215,0.10541871921182265
RAWL,Judge 43,Colleton,14,1,20.5,1.3084112149532712,19.19158878504673,0.052106160214268324
SAUNDERS,Judge 44,Greenwood,111,2,29.0,10.373831775700936,18.626168224299064,0.1073758153537381
SHORT,Judge 45,Fairfield,24,2,20.0,2.2429906542056077,17.757009345794394,0.11263157894736842
SHORT,Judge 45,York,27,1,48.0,2.5233644859813085,45.47663551401869,0.02198931360460337
THOMAS,Judge 47,Berkeley,127,1,30.0,11.869158878504674,18.130841121495326,0.05515463917525774
THOMAS,Judge 47,Georgetown,68,3,30.0,6.355140186915889,23.64485981308411,0.12687747035573124
THOMAS,Judge 47,Horry,87,1,65.0,8.130841121495328,56.86915887850467,0.017584223500410848
WATSON,Judge 48,Abbeville,62,2,25.0,5.794392523364486,19.205607476635514,0.10413625304136254
WATSON,Judge 48,Greenville,78,1,29.0,7.289719626168225,21.710280373831775,0.04606112785191563
WESTBROOK,Judge 49,Lexington,113,1,49.0,10.560747663551403,38.4392523364486,0.02601507415511792
WESTBROOK,Judge 49,Richland,151,6,104.0,14.112149532710282,89.88785046728972,0.06674984404242046
WILLIAMS,Judge 50,Clarendon,55,1,20.0,5.140186915887851,14.85981308411215,0.06729559748427673
WILLIAMS,Judge 50,Richland,195,8,65.0,18.224299065420563,46.77570093457943,0.17102897102897105
WILLIAMS,Judge 50,Sumter,156,1,42.5,14.57943925233645,27.92056074766355,0.03581589958158996
