JudgeName,JudgeID,County,Plea,Trial,Days,PleaDays,TrialDays,MuT
ALFORD,Judge 1,Chester,26,1,34.0,1.7333333333333334,32.266666666666666,0.030991735537190084
ALFORD,Judge 1,Fairfield,18,1,24.0,1.2,22.8,0.043859649122807015
ALFORD,Judge 1,Union,40,1,20.0,2.6666666666666665,17.333333333333332,0.057692307692307696
ALFORD,Judge 1,York,151,1,57.0,10.066666666666666,46.93333333333334,0.02130681818181818
BARBER,Judge 2,Aiken,193,6,57.5,12.866666666666667,44.63333333333333,0.1344286781179985
BARBER,Judge 2,Barnwell,69,1,15.0,4.6,10.4,0.09615384615384615
BARBER,Judge 2,Richland,71,2,86.0,4.733333333333333,81.26666666666667,0.02461033634126333
BAXLEY,Judge 3,Charleston,104,2,39.0,6.933333333333334,32.06666666666666,0.06237006237006238
BAXLEY,Judge 3,Georgetown,46,1,29.0,3.066666666666667,25.933333333333334,0.038560411311053984
BAXLEY,Judge 3,Horry,37,2,25.0,2.466666666666667,22.53333333333333,0.08875739644970415
BEATTY,Judge 4,Fairfield,6,2,15.0,0.4,14.6,0.136986301369863
BEATTY,Judge 4,Lancaster,14,1,14.0,0.9333333333333333,13.066666666666666,0.07653061224489796
BEATTY,Judge 4,Spartanburg,98,4,58.0,6.533333333333333,51.46666666666667,0.07772020725388601
BEATTY,Judge 4,York,47,1,20.0,3.1333333333333333,16.866666666666667,0.05928853754940711
BREEDEN,Judge 5,Horry,205,1,57.5,13.666666666666666,43.833333333333336,0.022813688212927754
BREEDEN,Judge 5,Richland,237,3,54.0,15.8,38.2,0.07853403141361257
BROGDON,Judge 6,Horry,187,7,92.0,12.466666666666667,79.53333333333333,0.08801341156747695
BROWN,Judge 7,Beaufort,27,1,9.0,1.8,7.2,0.1388888888888889
BROWN,Judge 7,Charleston,76,5,35.0,5.066666666666666,29.933333333333334,0.16703786191536749
BROWN,Judge 7,Dorchester,176,10,45.0,11.733333333333333,33.266666666666666,0.30060120240480964
BROWN,Judge 7,Jasper,20,1,10.0,1.3333333333333333,8.666666666666666,0.11538461538461539
BROWN,Judge 7,Orangeburg,201,3,54.0,13.4,40.6,0.07389162561576354
