JudgeName,FullAssignment,Week,Assignment,County
SIMMONS,"Greenville CPNJ 14,15",50-2000,"Greenville CPNJ 14,15",Greenville
GIER,York CPNJ 14,50-2000,York CPNJ 14,York
BERGDORF,na,50-2000,na,na
ALFORD,in chambers,51-2000,in chambers,na
BARBER,in chambers,51-2000,in chambers,na
BAXLEY,in chambers,51-2000,in chambers,na
BEATTY,in chambers,51-2000,in chambers,na
BREEDEN,"in chambers + 15th Cir. CPNJ 18,20",51-2000,in chambers ,na
BROGDON,"in chambers + 12th Cir. CPNJ 18,19",51-2000,in chambers ,na
BUCKNER,in chambers,51-2000,in chambers,na
BURCH,in chambers + Chesterfield GS 21,51-2000,in chambers ,na
CLARY,Medical,51-2000,Medical,na
COLE,X,51-2000,X,na
COOPER TW,"in chambers + 3rd Cir. CPNJ 20,21",51-2000,in chambers ,na
DENNIS,in chambers,51-2000,in chambers,na
FEW,"in chambers + 13th Cir. CPNJ 20,21 + Greenville GS 19",51-2000,in chambers ,na
FLOYD H,in chambers,51-2000,in chambers,na
FLOYD S,in chambers,51-2000,in chambers,na
GOODE,in chambers,51-2000,in chambers,na
GOODSTEIN,"in chambers + X 18,19,20,21",51-2000,in chambers ,na
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000,in chambers ,na
HALL,in chambers + Anderson GS 19,51-2000,in chambers ,na
HARWELL,in chambers + Florence GS 20,51-2000,in chambers ,na
HAYES,in chambers,51-2000,in chambers,na
JOHNSON,in chambers,51-2000,in chambers,na
KEESLEY,in chambers,51-2000,in chambers,na
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000,in chambers ,na
KING,"in chambers + 3rd Cir. CPNJ 20,21",51-2000,in chambers ,na
KITTREDGE,"in chambers + X 18,19,20",51-2000,in chambers ,na
LEE,in chambers,51-2000,in chambers,na
LOCKEMY,in chambers,51-2000,in chambers,na
MACAULAY,in chambers,51-2000,in chambers,na
MANNING,in chambers,51-2000,in chambers,na
MARTIN,in chambers,51-2000,in chambers,na
MCKELLAR,in chambers,51-2000,in chambers,na
MILLING,"in chambers + X 18,19,20",51-2000,in chambers ,na
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000,in chambers ,na
PATTERSON,in chambers,51-2000,in chambers,na
PEEPLES,in chambers,51-2000,in chambers,na
PIEPER,in chambers + 9th Cir. CPNJ 19,51-2000,in chambers ,na
RAWL,in chambers,51-2000,in chambers,na
SAUNDERS,in chambers + 13th Cir. CPNJ 19,51-2000,in chambers ,na
SHORT,in chambers,51-2000,in chambers,na
THOMAS,in chambers,51-2000,in chambers,na
WATSON,in chambers,51-2000,in chambers,na
WESTBROOK,in chambers + 11th Cir. CPNJ 19,51-2000,in chambers ,na
WILLIAMS,in chambers,51-2000,in chambers,na
BROWN,na,51-2000,na,na
COTTINGHAM,na,51-2000,na,na
HUGHSTON,na,51-2000,na,na
PYLE,na,51-2000,na,na
SMOAK,na,51-2000,na,na
COOPER GT,in chambers,51-2000,in chambers,na
NEWMAN,in chambers + 3rd Cir. CPNJ 18,51-2000,in chambers ,na
SIMMONS,Greenville GS 22,51-2000,Greenville GS 22,Greenville
GIER,na,51-2000,na,na
BERGDORF,na,51-2000,na,na
ALFORD,in chambers,52-2000,in chambers,na
BARBER,in chambers,52-2000,in chambers,na
BAXLEY,in chambers,52-2000,in chambers,na
BEATTY,in chambers,52-2000,in chambers,na
BREEDEN,in chambers,52-2000,in chambers,na
BROGDON,"in chambers + X 28,29",52-2000,in chambers ,na
BUCKNER,in chambers + 14th Cir. CPNJ 27,52-2000,in chambers ,na
BURCH,in chambers,52-2000,in chambers,na
CLARY,Medical,52-2000,Medical,na
COLE,in chambers,52-2000,in chambers,na
COOPER TW,in chambers,52-2000,in chambers,na
DENNIS,in chambers,52-2000,in chambers,na
FEW,in chambers,52-2000,in chambers,na
FLOYD H,in chambers,52-2000,in chambers,na
FLOYD S,in chambers,52-2000,in chambers,na
GOODE,in chambers,52-2000,in chambers,na
GOODSTEIN,in chambers + 15th Cir. CPNJ 27,52-2000,in chambers ,na
GREGORY,in chambers,52-2000,in chambers,na
HALL,in chambers,52-2000,in chambers,na
HARWELL,in chambers,52-2000,in chambers,na
HAYES,in chambers,52-2000,in chambers,na
JOHNSON,in chambers,52-2000,in chambers,na
KEESLEY,in chambers,52-2000,in chambers,na
KINARD,in chambers,52-2000,in chambers,na
KING,in chambers,52-2000,in chambers,na
KITTREDGE,in chambers + Greenville GS 29,52-2000,in chambers ,na
LEE,in chambers,52-2000,in chambers,na
LOCKEMY,in chambers,52-2000,in chambers,na
MACAULAY,in chambers,52-2000,in chambers,na
MANNING,in chambers,52-2000,in chambers,na
MARTIN,in chambers,52-2000,in chambers,na
MCKELLAR,in chambers + 5th Cir. CPNJ 29,52-2000,in chambers ,na
MILLING,in chambers + 4th Cir. CPNJ 28,52-2000,in chambers ,na
NICHOLSON,in chambers,52-2000,in chambers,na
PATTERSON,in chambers,52-2000,in chambers,na
