JudgeName,FullAssignment,Week,Assignment
BROWN,Orangeburg GS,35-2000,Orangeburg GS
COTTINGHAM,Horry CP,35-2000,Horry CP
HUGHSTON,Charleston GS,35-2000,Charleston GS
COUCH,Cherokee CPNJ 28,35-2000,Cherokee CPNJ 28
SMOAK,na,35-2000,na
COOPER GT,Greenville CP + Richland CP CC,35-2000,Greenville CP 
NEWMAN,Charleston GS,35-2000,Charleston GS
SIMMONS,Greenville GS 1,35-2000,Greenville GS 1
GIER,na,35-2000,na
BERGDORF,na,35-2000,na
MILLING,3rd Cir. CPNJ/PCR + Sumter GS CC 8,32-2000, Sumter GS CC 8
COTTINGHAM,na,32-2000,na
COUCH,na,32-2000,na
SIMMONS,na,32-2000,na
BERGDORF,na,32-2000,na
BARBER,in chambers + Richland GS(SGJ) 15,33-2000, Richland GS(SGJ) 15
BREEDEN,in chambers + 15th Cir. CPNJ 15,33-2000, 15th Cir. CPNJ 15
BROGDON,in chambers + 12th Cir. CPNJ 15,33-2000, 12th Cir. CPNJ 15
COOPER TW,in chambers + 3rd Cir. CPNJ 14,33-2000, 3rd Cir. CPNJ 14
DENNIS,in chambers + Berkeley GS(SGJ) 14,33-2000, Berkeley GS(SGJ) 14
FEW,in chambers + 13th Cir. CPNJ 14,33-2000, 13th Cir. CPNJ 14
GOODSTEIN,in chambers + 1st Cir. CPNJ 14,33-2000, 1st Cir. CPNJ 14
GREGORY,"in chambers + 14th Cir. CPNJ 14,15",33-2000," 14th Cir. CPNJ 14,15"
HALL,in chambers + Horry GS,33-2000, Horry GS
JOHNSON,in chambers + Laurens GS(SGJ) 14,33-2000, Laurens GS(SGJ) 14
KEESLEY,in chambers + Lexington GS 16,33-2000, Lexington GS 16
KITTREDGE,in chambers + 13th Cir. CPNJ 15,33-2000, 13th Cir. CPNJ 15
LOCKEMY,in chambers + 4th Cir. CPNJ 14,33-2000, 4th Cir. CPNJ 14
MILLING,in chambers + 4th Cir. CPNJ 14,33-2000, 4th Cir. CPNJ 14
PATTERSON,in chambers + 13th Cir. CPNJ 14,33-2000, 13th Cir. CPNJ 14
RAWL,in chambers + 9th Cir. CPNJ 14,33-2000, 9th Cir. CPNJ 14
WESTBROOK,in chambers + 11th Cir. CPNJ 15,33-2000, 11th Cir. CPNJ 15
BROWN,na,33-2000,na
COTTINGHAM,na,33-2000,na
HUGHSTON,na,33-2000,na
COUCH,na,33-2000,na
SMOAK,na,33-2000,na
SIMMONS,na,33-2000,na
GIER,na,33-2000,na
GOODE,Fairfield CP + Lexington CP CC 24,34-2000, Lexington CP CC 24
GOODSTEIN,1st Cir. CPNJ/PCR + 2nd Cir. CPNJ CC 25,34-2000, 2nd Cir. CPNJ CC 25
MILLING,"X 23,24,25 + 3rd Cir. CPNJ 21,22",34-2000," 3rd Cir. CPNJ 21,22"
PATTERSON,"Greenville CP 21,22,23,24 + X 25",34-2000, X 25
COUCH,na,34-2000,na
SIMMONS,na,34-2000,na
BERGDORF,na,34-2000,na
COOPER TW,Williamsburg GS + Orangeburg GS CC 1,35-2000, Orangeburg GS CC 1
NICHOLSON,Anderson CP + Oconee GS CC 1,35-2000, Oconee GS CC 1
SAUNDERS,Newberry CP + Laurens GS CC 1,35-2000, Laurens GS CC 1
THOMAS,"15th Cir. CPNJ/PCR 28,29,30,31 + X 1",35-2000, X 1
SMOAK,na,35-2000,na
COOPER GT,Greenville CP + Richland CP CC,35-2000, Richland CP CC
GIER,na,35-2000,na
BERGDORF,na,35-2000,na
COTTINGHAM,na,32-2000,na
COUCH,na,32-2000,na
SIMMONS,na,32-2000,na
BERGDORF,na,32-2000,na
BROWN,na,33-2000,na
COTTINGHAM,na,33-2000,na
HUGHSTON,na,33-2000,na
COUCH,na,33-2000,na
SMOAK,na,33-2000,na
SIMMONS,na,33-2000,na
GIER,na,33-2000,na
COUCH,na,34-2000,na
SIMMONS,na,34-2000,na
BERGDORF,na,34-2000,na
SMOAK,na,35-2000,na
GIER,na,35-2000,na
BERGDORF,na,35-2000,na
COTTINGHAM,na,32-2000,na
COUCH,na,32-2000,na
SIMMONS,na,32-2000,na
BERGDORF,na,32-2000,na
BROWN,na,33-2000,na
COTTINGHAM,na,33-2000,na
HUGHSTON,na,33-2000,na
COUCH,na,33-2000,na
SMOAK,na,33-2000,na
SIMMONS,na,33-2000,na
GIER,na,33-2000,na
COUCH,na,34-2000,na
SIMMONS,na,34-2000,na
BERGDORF,na,34-2000,na
SMOAK,na,35-2000,na
GIER,na,35-2000,na
BERGDORF,na,35-2000,na
COTTINGHAM,na,32-2000,na
COUCH,na,32-2000,na
SIMMONS,na,32-2000,na
BERGDORF,na,32-2000,na
BROWN,na,33-2000,na
COTTINGHAM,na,33-2000,na
HUGHSTON,na,33-2000,na
COUCH,na,33-2000,na
SMOAK,na,33-2000,na
SIMMONS,na,33-2000,na
GIER,na,33-2000,na
COUCH,na,34-2000,na
SIMMONS,na,34-2000,na
BERGDORF,na,34-2000,na
SMOAK,na,35-2000,na
GIER,na,35-2000,na
BERGDORF,na,35-2000,na
ALFORD,in chambers,27-2000,in chambers
BARBER,in chambers,27-2000,in chambers
BAXLEY,in chambers,27-2000,in chambers
BEATTY,in chambers,27-2000,in chambers
BREEDEN,in chambers,27-2000,in chambers
BROGDON,in chambers + 12th Cir. CPNJ 6,27-2000,in chambers 
BUCKNER,in chambers,27-2000,in chambers
BURCH,in chambers,27-2000,in chambers
CLARY,in chambers,27-2000,in chambers
COLE,in chambers,27-2000,in chambers
COOPER TW,in chambers + 3rd Cir. CPNJ 5,27-2000,in chambers 
DENNIS,in chambers + Sumter GS(SGJ) 6,27-2000,in chambers 
FEW,in chambers,27-2000,in chambers
FLOYD H,in chambers,27-2000,in chambers
FLOYD S,in chambers + 15th Cir. CPNJ 6,27-2000,in chambers 
GOODE,in chambers,27-2000,in chambers
GOODSTEIN,in chambers + 14th Cir. CPNJ 6 + Beaufort GS CC 4,27-2000,in chambers 
GREGORY,in chambers,27-2000,in chambers
HALL,in chambers,27-2000,in chambers
HARWELL,in chambers,27-2000,in chambers
HAYES,X,27-2000,X
JOHNSON,in chambers,27-2000,in chambers
KEESLEY,in chambers + Richland GS 7,27-2000,in chambers 
KINARD,in chambers + 14th Cir. CPNJ 6,27-2000,in chambers 
KING,in chambers + 15th Cir. CPNJ 3,27-2000,in chambers 
KITTREDGE,in chambers + 13th Cir. CPNJ 7,27-2000,in chambers 
LEE,in chambers,27-2000,in chambers
LOCKEMY,"in chambers + XX 5,6,7",27-2000,in chambers 
MACAULAY,"in chambers + X 6,7",27-2000,in chambers 
MANNING,in chambers,27-2000,in chambers
MARTIN,in chambers,27-2000,in chambers
MCKELLAR,in chambers,27-2000,in chambers
MILLING,in chambers,27-2000,in chambers
NICHOLSON,"in chambers + 10th Cir. CPNJ 5,6,7",27-2000,in chambers 
PATTERSON,in chambers + 12th Cir. CPNJ 5,27-2000,in chambers 
PEEPLES,in chambers,27-2000,in chambers
PIEPER,in chambers,27-2000,in chambers
RAWL,in chambers,27-2000,in chambers
SAUNDERS,in chambers,27-2000,in chambers
SHORT,in chambers,27-2000,in chambers
THOMAS,in chambers,27-2000,in chambers
WATSON,"in chambers + X 5,6,7",27-2000,in chambers 
WESTBROOK,in chambers,27-2000,in chambers
WILLIAMS,in chambers,27-2000,in chambers
BROWN,na,27-2000,na
HUGHSTON,na,27-2000,na
SIMMONS,na,27-2000,na
SMOAK,na,27-2000,na
COOPER GT,in chambers,27-2000,in chambers
NEWMAN,in chambers,27-2000,in chambers
GIER,na,27-2000,na
WATTS,na,27-2000,na
ALFORD,York GS,28-2000,York GS
BARBER,5th Cir. AW,28-2000,5th Cir. AW
BAXLEY,Orientation School,28-2000,Orientation School
BEATTY,X,28-2000,X
BREEDEN,15th Cir. CPNJ,28-2000,15th Cir. CPNJ
BROGDON,Florence CP,28-2000,Florence CP
BUCKNER,Orientation School,28-2000,Orientation School
BURCH,"Darlington GS 11,12,13,14 + XX 10",28-2000,"Darlington GS 11,12,13,14 "
CLARY,Orientation School,28-2000,Orientation School
COLE,Spartanburg GS,28-2000,Spartanburg GS
COOPER TW,Orientation School + Aiken GS 13,28-2000,Orientation School 
DENNIS,X,28-2000,X
FEW,Orientation School,28-2000,Orientation School
FLOYD H,Orientation School,28-2000,Orientation School
FLOYD S,Horry GS,28-2000,Horry GS
GOODE,11th Cir. CPNJ,28-2000,11th Cir. CPNJ
GOODSTEIN,Orangeburg CP,28-2000,Orangeburg CP
GREGORY,Jasper GS,28-2000,Jasper GS
HALL,Orientation School,28-2000,Orientation School
HARWELL,Marion GS,28-2000,Marion GS
HAYES,York GS + 16th Cir. AW,28-2000,York GS 
JOHNSON,Orientation School + 5th Cir. CPNJ 13,28-2000,Orientation School 
KEESLEY,Bamberg GS,28-2000,Bamberg GS
KINARD,Laurens GS,28-2000,Laurens GS
KING,X,28-2000,X
KITTREDGE,X,28-2000,X
LEE,Williamsburg GS,28-2000,Williamsburg GS
LOCKEMY,"4th Cir. CPNJ 12,13,14 + X 10,11",28-2000,"4th Cir. CPNJ 12,13,14 "
MACAULAY,X,28-2000,X
MANNING,Orientation School,28-2000,Orientation School
MARTIN,9th Cir. AW,28-2000,9th Cir. AW
MCKELLAR,Richland GS,28-2000,Richland GS
MILLING,Clarendon GS,28-2000,Clarendon GS
NICHOLSON,10th Cir. CPNJ,28-2000,10th Cir. CPNJ
PATTERSON,Greenville GS,28-2000,Greenville GS
PEEPLES,Barnwell CP,28-2000,Barnwell CP
PIEPER,Charleston GS,28-2000,Charleston GS
RAWL,Charleston GS,28-2000,Charleston GS
SAUNDERS,Sick,28-2000,Sick
SHORT,Chester GS,28-2000,Chester GS
THOMAS,Horry GS,28-2000,Horry GS
WATSON,Greenville GS,28-2000,Greenville GS
WESTBROOK,Lexington GS,28-2000,Lexington GS
WILLIAMS,Richland GS,28-2000,Richland GS
BROWN,Dorchester GS,28-2000,Dorchester GS
HUGHSTON,Abbeville GS CP CC,28-2000,Abbeville GS CP CC
SIMMONS,Greenville GS 10,28-2000,Greenville GS 10
SMOAK,na,28-2000,na
COOPER GT,"Orientation School + 5th Cir. CPNJ 13,14",28-2000,Orientation School 
NEWMAN,Orientation School,28-2000,Orientation School
GIER,na,28-2000,na
WATTS,na,28-2000,na
ALFORD,X,29-2000,X
BARBER,Richland GS,29-2000,Richland GS
BAXLEY,Marlboro CP (Sitting with Burch),29-2000,Marlboro CP (Sitting with Burch)
BEATTY,Spartanburg GS,29-2000,Spartanburg GS
BREEDEN,Horry CP,29-2000,Horry CP
BROGDON,X,29-2000,X
BUCKNER,Laurens GS (Sitting with Johnson),29-2000,Laurens GS (Sitting with Johnson)
BURCH,Marlboro CP,29-2000,Marlboro CP
CLARY,Cherokee GS,29-2000,Cherokee GS
COLE,Spartanburg GS,29-2000,Spartanburg GS
COOPER TW,X,29-2000,X
DENNIS,Sumter GS(SGJ),29-2000,Sumter GS(SGJ)
FEW,Cherokee GS (Sitting with Clary),29-2000,Cherokee GS (Sitting with Clary)
FLOYD H,York CP CC + York GS CC 20,29-2000,York CP CC 
FLOYD S,"Horry GS 17 + Family Death 18,19,20,21",29-2000,Horry GS 17 
GOODE,Lexington CP,29-2000,Lexington CP
GOODSTEIN,1st Cir. CPNJ,29-2000,1st Cir. CPNJ
GREGORY,Beaufort GS,29-2000,Beaufort GS
HALL,Anderson GS,29-2000,Anderson GS
HARWELL,12th Cir. CPNJ,29-2000,12th Cir. CPNJ
HAYES,Union GS,29-2000,Union GS
JOHNSON,Laurens GS,29-2000,Laurens GS
KEESLEY,Edgefield CP,29-2000,Edgefield CP
KINARD,Kershaw GS,29-2000,Kershaw GS
KING,Williamsburg GS,29-2000,Williamsburg GS
KITTREDGE,"13th Cir. CPNJ 17,18,19 + X 20,21",29-2000,"13th Cir. CPNJ 17,18,19 "
LEE,Richland CP,29-2000,Richland CP
LOCKEMY,Dillon CP,29-2000,Dillon CP
MACAULAY,"X 17,18,19 + 10th Cir. CPNJ 20,21",29-2000,"X 17,18,19 "
MANNING,Orangeburg CP,29-2000,Orangeburg CP
MARTIN,Charleston GS,29-2000,Charleston GS
MCKELLAR,5th Cir. CPNJ,29-2000,5th Cir. CPNJ
MILLING,Clarendon GS CP CC,29-2000,Clarendon GS CP CC
NICHOLSON,Anderson GS,29-2000,Anderson GS
PATTERSON,Greenville GS,29-2000,Greenville GS
PEEPLES,2nd Cir. CPNJ,29-2000,2nd Cir. CPNJ
PIEPER,Charleston CP,29-2000,Charleston CP
RAWL,Berkeley GS,29-2000,Berkeley GS
SAUNDERS,Sick,29-2000,Sick
SHORT,6th Cir. CPNJ,29-2000,6th Cir. CPNJ
THOMAS,Horry GS,29-2000,Horry GS
WATSON,Greenville GS,29-2000,Greenville GS
WESTBROOK,"Lexington GS 17,18,19,20 + X 21",29-2000,"Lexington GS 17,18,19,20 "
WILLIAMS,Richland GS,29-2000,Richland GS
BROWN,Dorchester GS,29-2000,Dorchester GS
HUGHSTON,Charleston GS,29-2000,Charleston GS
SIMMONS,na,29-2000,na
SMOAK,14th Cir. CPNJ,29-2000,14th Cir. CPNJ
COOPER GT,Berkeley GS (Sitting with Rawl),29-2000,Berkeley GS (Sitting with Rawl)
NEWMAN,Charleston GS (Sitting with Martin),29-2000,Charleston GS (Sitting with Martin)
GIER,na,29-2000,na
WATTS,na,29-2000,na
ALFORD,16th Cir. CPNJ/PCR,30-2000,16th Cir. CPNJ/PCR
BARBER,Richland GS,30-2000,Richland GS
BAXLEY,"Sumter GS (Sitting with Milling) 26,27,28 + Marlboro GS (Sitting with Burch) 24,25",30-2000,"Sumter GS (Sitting with Milling) 26,27,28 "
BEATTY,Florence CP,30-2000,Florence CP
BREEDEN,Horry CP,30-2000,Horry CP
BROGDON,Marion CP,30-2000,Marion CP
BUCKNER,Laurens CP (Sitting with Johnson),30-2000,Laurens CP (Sitting with Johnson)
BURCH,Marlboro GS,30-2000,Marlboro GS
CLARY,Anderson GS,30-2000,Anderson GS
COLE,Cherokee GS,30-2000,Cherokee GS
COOPER TW,X,30-2000,X
DENNIS,"Sumter GS(SGJ) CC 27 + Clarendon GS CC 27 + 3rd Cir. CPNJ 27,28 + X 24,25,26",30-2000,Sumter GS(SGJ) CC 27 
FEW,"York CP (Sitting with Floyd, H.)",30-2000,"York CP (Sitting with Floyd, H.)"
FLOYD H,Greenville CP,30-2000,Greenville CP
FLOYD S,Georgetown GS,30-2000,Georgetown GS
GOODE,Lexington CP,30-2000,Lexington CP
GOODSTEIN,Dorchester CP,30-2000,Dorchester CP
GREGORY,Beaufort GS,30-2000,Beaufort GS
HALL,X,30-2000,X
HARWELL,Florence CP,30-2000,Florence CP
HAYES,York GS,30-2000,York GS
JOHNSON,Laurens CP,30-2000,Laurens CP
KEESLEY,in chambers,30-2000,in chambers
KINARD,Kershaw GS,30-2000,Kershaw GS
KING,3rd Cir. CPNJ,30-2000,3rd Cir. CPNJ
KITTREDGE,X,30-2000,X
LEE,Richland GS,30-2000,Richland GS
LOCKEMY,Darlington CP,30-2000,Darlington CP
MACAULAY,Anderson GS,30-2000,Anderson GS
MANNING,Richland CP,30-2000,Richland CP
MARTIN,Charleston CP,30-2000,Charleston CP
MCKELLAR,Orangeburg GS,30-2000,Orangeburg GS
MILLING,Sumter GS,30-2000,Sumter GS
NICHOLSON,Anderson CP,30-2000,Anderson CP
PATTERSON,7th Cir. CP/PCR,30-2000,7th Cir. CP/PCR
PEEPLES,2nd Cir. CPNJ,30-2000,2nd Cir. CPNJ
PIEPER,Berkeley CP,30-2000,Berkeley CP
RAWL,9th Cir. CPNJ/PCR,30-2000,9th Cir. CPNJ/PCR
SAUNDERS,Sick,30-2000,Sick
SHORT,York CP,30-2000,York CP
THOMAS,15th Cir. CPNJ,30-2000,15th Cir. CPNJ
WATSON,Pickens GS,30-2000,Pickens GS
WESTBROOK,Lexington CP,30-2000,Lexington CP
WILLIAMS,Richland CP + Richland GS CC 28,30-2000,Richland CP 
BROWN,na,30-2000,na
HUGHSTON,na,30-2000,na
SIMMONS,"Greenville CPNJ 26,27 + Greenville GS 28",30-2000,"Greenville CPNJ 26,27 "
SMOAK,na,30-2000,na
COOPER GT,Richland CP (Sitting with Williams),30-2000,Richland CP (Sitting with Williams)
NEWMAN,Greenwood GS,30-2000,Greenwood GS
GIER,York CPNJ 27,30-2000,York CPNJ 27
WATTS,"Dorchester CPNJ 24,26,27,28",30-2000,"Dorchester CPNJ 24,26,27,28"
ALFORD,York CP,31-2000,York CP
BARBER,Richland CP,31-2000,Richland CP
BAXLEY,X,31-2000,X
BEATTY,7th Cir. CPNJ,31-2000,7th Cir. CPNJ
BREEDEN,Horry CP,31-2000,Horry CP
BROGDON,Florence GS,31-2000,Florence GS
BUCKNER,Richland CP,31-2000,Richland CP
BURCH,Marlboro GS + Sumter GS CC,31-2000,Marlboro GS 
CLARY,Spartanburg CP,31-2000,Spartanburg CP
COLE,Spartanburg CP,31-2000,Spartanburg CP
COOPER TW,Sumter CP,31-2000,Sumter CP
DENNIS,9th Cir. CPNJ,31-2000,9th Cir. CPNJ
FEW,Beaufort CP,31-2000,Beaufort CP
FLOYD H,13th Cir. CPNJ,31-2000,13th Cir. CPNJ
FLOYD S,Horry CP,31-2000,Horry CP
GOODE,Lexington CP,31-2000,Lexington CP
GOODSTEIN,Aiken GS,31-2000,Aiken GS
GREGORY,Hampton CP,31-2000,Hampton CP
HALL,Oconee GS,31-2000,Oconee GS
HARWELL,Florence CP,31-2000,Florence CP
HAYES,16th Cir. CPNJ,31-2000,16th Cir. CPNJ
JOHNSON,8th Cir. CPNJ/PCR,31-2000,8th Cir. CPNJ/PCR
KEESLEY,X,31-2000,X
KINARD,Richland GS + Lexington GS CC 3,31-2000,Richland GS 
KING,Williamsburg CP,31-2000,Williamsburg CP
KITTREDGE,Union CP,31-2000,Union CP
LEE,Richland GS,31-2000,Richland GS
LOCKEMY,Chesterfield GS,31-2000,Chesterfield GS
MACAULAY,10th Cir. CPNJ,31-2000,10th Cir. CPNJ
MANNING,5th Cir. CPNJ,31-2000,5th Cir. CPNJ
MARTIN,Charleston GS,31-2000,Charleston GS
MCKELLAR,Beaufort CP,31-2000,Beaufort CP
MILLING,Sumter GS + Marlboro GS CC,31-2000,Sumter GS 
NICHOLSON,Anderson CP,31-2000,Anderson CP
PATTERSON,Greenville CP,31-2000,Greenville CP
PEEPLES,Aiken CP,31-2000,Aiken CP
PIEPER,Charleston CP,31-2000,Charleston CP
RAWL,Berkeley GS,31-2000,Berkeley GS
SAUNDERS,Sick,31-2000,Sick
SHORT,Fairfield GS,31-2000,Fairfield GS
THOMAS,Georgetown CP,31-2000,Georgetown CP
WATSON,13th Cir. CPNJ/PCR,31-2000,13th Cir. CPNJ/PCR
WESTBROOK,11th Cir. CPNJ,31-2000,11th Cir. CPNJ
WILLIAMS,X,31-2000,X
BROWN,Orangeburg GS,31-2000,Orangeburg GS
HUGHSTON,Colleton CP,31-2000,Colleton CP
SIMMONS,Greenville GS 4,31-2000,Greenville GS 4
SMOAK,Charleston GS,31-2000,Charleston GS
COOPER GT,Greenville GS,31-2000,Greenville GS
NEWMAN,Charleston CP,31-2000,Charleston CP
GIER,na,31-2000,na
WATTS,na,31-2000,na
BROGDON,in chambers + 12th Cir. CPNJ 6,27-2000, 12th Cir. CPNJ 6
COOPER TW,in chambers + 3rd Cir. CPNJ 5,27-2000, 3rd Cir. CPNJ 5
DENNIS,in chambers + Sumter GS(SGJ) 6,27-2000, Sumter GS(SGJ) 6
FLOYD S,in chambers + 15th Cir. CPNJ 6,27-2000, 15th Cir. CPNJ 6
GOODSTEIN,in chambers + 14th Cir. CPNJ 6 + Beaufort GS CC 4,27-2000, 14th Cir. CPNJ 6 
KEESLEY,in chambers + Richland GS 7,27-2000, Richland GS 7
KINARD,in chambers + 14th Cir. CPNJ 6,27-2000, 14th Cir. CPNJ 6
KING,in chambers + 15th Cir. CPNJ 3,27-2000, 15th Cir. CPNJ 3
KITTREDGE,in chambers + 13th Cir. CPNJ 7,27-2000, 13th Cir. CPNJ 7
LOCKEMY,"in chambers + XX 5,6,7",27-2000," XX 5,6,7"
MACAULAY,"in chambers + X 6,7",27-2000," X 6,7"
NICHOLSON,"in chambers + 10th Cir. CPNJ 5,6,7",27-2000," 10th Cir. CPNJ 5,6,7"
PATTERSON,in chambers + 12th Cir. CPNJ 5,27-2000, 12th Cir. CPNJ 5
WATSON,"in chambers + X 5,6,7",27-2000," X 5,6,7"
BROWN,na,27-2000,na
HUGHSTON,na,27-2000,na
SIMMONS,na,27-2000,na
SMOAK,na,27-2000,na
GIER,na,27-2000,na
WATTS,na,27-2000,na
BURCH,"Darlington GS 11,12,13,14 + XX 10",28-2000, XX 10
COOPER TW,Orientation School + Aiken GS 13,28-2000, Aiken GS 13
HAYES,York GS + 16th Cir. AW,28-2000, 16th Cir. AW
JOHNSON,Orientation School + 5th Cir. CPNJ 13,28-2000, 5th Cir. CPNJ 13
LOCKEMY,"4th Cir. CPNJ 12,13,14 + X 10,11",28-2000," X 10,11"
SMOAK,na,28-2000,na
COOPER GT,"Orientation School + 5th Cir. CPNJ 13,14",28-2000," 5th Cir. CPNJ 13,14"
GIER,na,28-2000,na
WATTS,na,28-2000,na
FLOYD H,York CP CC + York GS CC 20,29-2000, York GS CC 20
FLOYD S,"Horry GS 17 + Family Death 18,19,20,21",29-2000," Family Death 18,19,20,21"
KITTREDGE,"13th Cir. CPNJ 17,18,19 + X 20,21",29-2000," X 20,21"
MACAULAY,"X 17,18,19 + 10th Cir. CPNJ 20,21",29-2000," 10th Cir. CPNJ 20,21"
WESTBROOK,"Lexington GS 17,18,19,20 + X 21",29-2000, X 21
SIMMONS,na,29-2000,na
GIER,na,29-2000,na
WATTS,na,29-2000,na
BAXLEY,"Sumter GS (Sitting with Milling) 26,27,28 + Marlboro GS (Sitting with Burch) 24,25",30-2000," Marlboro GS (Sitting with Burch) 24,25"
DENNIS,"Sumter GS(SGJ) CC 27 + Clarendon GS CC 27 + 3rd Cir. CPNJ 27,28 + X 24,25,26",30-2000, Clarendon GS CC 27 
WILLIAMS,Richland CP + Richland GS CC 28,30-2000, Richland GS CC 28
BROWN,na,30-2000,na
HUGHSTON,na,30-2000,na
SIMMONS,"Greenville CPNJ 26,27 + Greenville GS 28",30-2000, Greenville GS 28
SMOAK,na,30-2000,na
BURCH,Marlboro GS + Sumter GS CC,31-2000, Sumter GS CC
KINARD,Richland GS + Lexington GS CC 3,31-2000, Lexington GS CC 3
MILLING,Sumter GS + Marlboro GS CC,31-2000, Marlboro GS CC
GIER,na,31-2000,na
WATTS,na,31-2000,na
GOODSTEIN,in chambers + 14th Cir. CPNJ 6 + Beaufort GS CC 4,27-2000, Beaufort GS CC 4
BROWN,na,27-2000,na
HUGHSTON,na,27-2000,na
SIMMONS,na,27-2000,na
SMOAK,na,27-2000,na
GIER,na,27-2000,na
WATTS,na,27-2000,na
SMOAK,na,28-2000,na
GIER,na,28-2000,na
WATTS,na,28-2000,na
SIMMONS,na,29-2000,na
GIER,na,29-2000,na
WATTS,na,29-2000,na
DENNIS,"Sumter GS(SGJ) CC 27 + Clarendon GS CC 27 + 3rd Cir. CPNJ 27,28 + X 24,25,26",30-2000," 3rd Cir. CPNJ 27,28 "
BROWN,na,30-2000,na
HUGHSTON,na,30-2000,na
SMOAK,na,30-2000,na
GIER,na,31-2000,na
WATTS,na,31-2000,na
BROWN,na,27-2000,na
HUGHSTON,na,27-2000,na
SIMMONS,na,27-2000,na
SMOAK,na,27-2000,na
GIER,na,27-2000,na
WATTS,na,27-2000,na
SMOAK,na,28-2000,na
GIER,na,28-2000,na
WATTS,na,28-2000,na
SIMMONS,na,29-2000,na
GIER,na,29-2000,na
WATTS,na,29-2000,na
DENNIS,"Sumter GS(SGJ) CC 27 + Clarendon GS CC 27 + 3rd Cir. CPNJ 27,28 + X 24,25,26",30-2000," X 24,25,26"
BROWN,na,30-2000,na
HUGHSTON,na,30-2000,na
SMOAK,na,30-2000,na
GIER,na,31-2000,na
WATTS,na,31-2000,na
BROWN,na,27-2000,na
HUGHSTON,na,27-2000,na
SIMMONS,na,27-2000,na
SMOAK,na,27-2000,na
GIER,na,27-2000,na
WATTS,na,27-2000,na
SMOAK,na,28-2000,na
GIER,na,28-2000,na
WATTS,na,28-2000,na
SIMMONS,na,29-2000,na
GIER,na,29-2000,na
WATTS,na,29-2000,na
BROWN,na,30-2000,na
HUGHSTON,na,30-2000,na
SMOAK,na,30-2000,na
GIER,na,31-2000,na
WATTS,na,31-2000,na
ALFORD,in chambers,14-2001,in chambers
BARBER,in chambers,14-2001,in chambers
BAXLEY,in chambers,14-2001,in chambers
BEATTY,in chambers,14-2001,in chambers
BREEDEN,in chambers,14-2001,in chambers
BUCKNER,"14th Cir. CPNJ 2,3",14-2001,"14th Cir. CPNJ 2,3"
BROGDON,in chambers,14-2001,in chambers
BURCH,in chambers + 12th Cir. CPNJ 5,14-2001,in chambers 
CLARY,8th Cir. CPNJ CC 3 + Spartanburg GS 3 + Lexington GS 5,14-2001,8th Cir. CPNJ CC 3 
COLE,"in chambers + 7th Cir. CPNJ 2,5",14-2001,in chambers 
COOPER GT,in chambers,14-2001,in chambers
COOPER TW,in chambers,14-2001,in chambers
DENNIS,"in chambers + 1st Cir. CPNJ 4,5",14-2001,in chambers 
FEW,in chambers,14-2001,in chambers
FLOYD H,in chambers,14-2001,in chambers
FLOYD S,in chambers,14-2001,in chambers
GOODE,in chambers,14-2001,in chambers
GOODSTEIN,in chambers,14-2001,in chambers
GREGORY,14th Cir. CPNJ 3,14-2001,14th Cir. CPNJ 3
HALL,in chambers,14-2001,in chambers
HARWELL,in chambers,14-2001,in chambers
HAYES,in chambers,14-2001,in chambers
JOHNSON,in chambers + 10th Cir. CPNJ 4,14-2001,in chambers 
KEESLEY,in chambers,14-2001,in chambers
KINARD,4th Cir. CPNJ/PCR,14-2001,4th Cir. CPNJ/PCR
KING,in chambers,14-2001,in chambers
KITTREDGE,in chambers + 10th Cir. CPNJ 6 + Medical 2,14-2001,in chambers 
LEE,in chambers,14-2001,in chambers
LOCKEMY,in chambers + 4th Cir. CPNJ 4,14-2001,in chambers 
MACAULAY,in chambers,14-2001,in chambers
MANNING,12th Cir. CPNJ/PCR,14-2001,12th Cir. CPNJ/PCR
MARTIN,in chambers,14-2001,in chambers
MCKELLAR,in chambers + 5th Cir. CPNJ 3,14-2001,in chambers 
MILLING,in chambers + 15th Cir. CPNJ 2,14-2001,in chambers 
NEWMAN,in chambers + 3rd Cir. CPNJ 5,14-2001,in chambers 
NICHOLSON,in chambers,14-2001,in chambers
PATTERSON,in chambers,14-2001,in chambers
PEEPLES,in chambers,14-2001,in chambers
PIEPER,in chambers + 9th Cir. CPNJ 2 + Charleston GS CC 2,14-2001,in chambers 
RAWL,in chambers,14-2001,in chambers
SAUNDERS,in chambers,14-2001,in chambers
SHORT,in chambers,14-2001,in chambers
THOMAS,in chambers + Horry GS 3,14-2001,in chambers 
WATSON,in chambers + 13th Cir. CPNJ 2,14-2001,in chambers 
WESTBROOK,"in chambers + Richland GS 2,3,4,5",14-2001,in chambers 
WILLIAMS,in chambers + 1st Cir. CPNJ 2,14-2001,in chambers 
BROWN,na,14-2001,na
COTTINGHAM,na,14-2001,na
HUGHSTON,na,14-2001,na
PYLE,na,14-2001,na
GIER,na,14-2001,na
COUCH,na,14-2001,na
SIMMONS,Greenville GS 6,14-2001,Greenville GS 6
YOUNG,Charleston CPNJ 6,14-2001,Charleston CPNJ 6
SMOAK,na,14-2001,na
WATTS,na,14-2001,na
ALFORD,7th Cir. CP/PCR,15-2001,7th Cir. CP/PCR
BARBER,Aiken GS,15-2001,Aiken GS
BAXLEY,Horry GS,15-2001,Horry GS
