JudgeName,FullAssignment,Week,Assignment
FLOYD H,in chambers,51-2000,in chambers
FLOYD S,in chambers,51-2000,in chambers
GOODE,in chambers,51-2000,in chambers
GOODSTEIN,"in chambers + X 18,19,20,21",51-2000,in chambers 
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000,in chambers 
HALL,in chambers + Anderson GS 19,51-2000,in chambers 
HARWELL,in chambers + Florence GS 20,51-2000,in chambers 
HAYES,in chambers,51-2000,in chambers
JOHNSON,in chambers,51-2000,in chambers
KEESLEY,in chambers,51-2000,in chambers
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000,in chambers 
KING,"in chambers + 3rd Cir. CPNJ 20,21",51-2000,in chambers 
KITTREDGE,"in chambers + X 18,19,20",51-2000,in chambers 
LEE,in chambers,51-2000,in chambers
LOCKEMY,in chambers,51-2000,in chambers
MACAULAY,in chambers,51-2000,in chambers
MANNING,in chambers,51-2000,in chambers
MARTIN,in chambers,51-2000,in chambers
MCKELLAR,in chambers,51-2000,in chambers
MILLING,"in chambers + X 18,19,20",51-2000,in chambers 
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000,in chambers 
PATTERSON,in chambers,51-2000,in chambers
PEEPLES,in chambers,51-2000,in chambers
PIEPER,in chambers + 9th Cir. CPNJ 19,51-2000,in chambers 
RAWL,in chambers,51-2000,in chambers
SAUNDERS,in chambers + 13th Cir. CPNJ 19,51-2000,in chambers 
SHORT,in chambers,51-2000,in chambers
THOMAS,in chambers,51-2000,in chambers
WATSON,in chambers,51-2000,in chambers
WESTBROOK,in chambers + 11th Cir. CPNJ 19,51-2000,in chambers 
WILLIAMS,in chambers,51-2000,in chambers
BROWN,na,51-2000,na
COTTINGHAM,na,51-2000,na
HUGHSTON,na,51-2000,na
PYLE,na,51-2000,na
SMOAK,na,51-2000,na
COOPER GT,in chambers,51-2000,in chambers
NEWMAN,in chambers + 3rd Cir. CPNJ 18,51-2000,in chambers 
SIMMONS,Greenville GS 22,51-2000,Greenville GS 22
GIER,na,51-2000,na
BERGDORF,na,51-2000,na
ALFORD,in chambers,52-2000,in chambers
BARBER,in chambers,52-2000,in chambers
BAXLEY,in chambers,52-2000,in chambers
BEATTY,in chambers,52-2000,in chambers
BREEDEN,in chambers,52-2000,in chambers
BROGDON,"in chambers + X 28,29",52-2000,in chambers 
BUCKNER,in chambers + 14th Cir. CPNJ 27,52-2000,in chambers 
BURCH,in chambers,52-2000,in chambers
CLARY,Medical,52-2000,Medical
COLE,in chambers,52-2000,in chambers
COOPER TW,in chambers,52-2000,in chambers
DENNIS,in chambers,52-2000,in chambers
FEW,in chambers,52-2000,in chambers
FLOYD H,in chambers,52-2000,in chambers
FLOYD S,in chambers,52-2000,in chambers
GOODE,in chambers,52-2000,in chambers
GOODSTEIN,in chambers + 15th Cir. CPNJ 27,52-2000,in chambers 
GREGORY,in chambers,52-2000,in chambers
HALL,in chambers,52-2000,in chambers
HARWELL,in chambers,52-2000,in chambers
HAYES,in chambers,52-2000,in chambers
JOHNSON,in chambers,52-2000,in chambers
KEESLEY,in chambers,52-2000,in chambers
KINARD,in chambers,52-2000,in chambers
KING,in chambers,52-2000,in chambers
KITTREDGE,in chambers + Greenville GS 29,52-2000,in chambers 
LEE,in chambers,52-2000,in chambers
LOCKEMY,in chambers,52-2000,in chambers
MACAULAY,in chambers,52-2000,in chambers
MANNING,in chambers,52-2000,in chambers
MARTIN,in chambers,52-2000,in chambers
MCKELLAR,in chambers + 5th Cir. CPNJ 29,52-2000,in chambers 
MILLING,in chambers + 4th Cir. CPNJ 28,52-2000,in chambers 
NICHOLSON,in chambers,52-2000,in chambers
PATTERSON,in chambers,52-2000,in chambers
PEEPLES,in chambers,52-2000,in chambers
PIEPER,in chambers,52-2000,in chambers
RAWL,in chambers,52-2000,in chambers
